0	日 期	NTD/USD
1	2018-06-26	30.412
2	2018-06-25	30.403
3	2018-06-22	30.307
4	2018-06-21	30.302
5	2018-06-20	30.170
6	2018-06-19	30.186
7	2018-06-15	30.002
8	2018-06-14	29.938
9	2018-06-13	29.890
10	2018-06-12	29.860
11	2018-06-11	29.821
12	2018-06-08	29.816
13	2018-06-07	29.740
14	2018-06-06	29.738
15	2018-06-05	29.815
16	2018-06-04	29.820
17	2018-06-01	29.864
18	2018-05-31	29.980
19	2018-05-30	30.050
20	2018-05-29	29.988
21	2018-05-28	29.928
22	2018-05-25	29.945
23	2018-05-24	29.930
24	2018-05-23	29.960
25	2018-05-22	29.922
26	2018-05-21	29.992
27	2018-05-18	29.912
28	2018-05-17	29.906
29	2018-05-16	29.892
30	2018-05-15	29.848
31	2018-05-14	29.742
32	2018-05-11	29.773
33	2018-05-10	29.872
34	2018-05-09	29.928
35	2018-05-08	29.783
36	2018-05-07	29.763
37	2018-05-04	29.716
38	2018-05-03	29.742
39	2018-05-02	29.758
40	2018-04-30	29.605
41	2018-04-27	29.636
42	2018-04-26	29.705
43	2018-04-25	29.660
44	2018-04-24	29.616
45	2018-04-23	29.528
46	2018-04-20	29.407
47	2018-04-19	29.340
48	2018-04-18	29.366
49	2018-04-17	29.362
50	2018-04-16	29.425
